"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 29 09:39:20 GMT 2025","Fri Aug 29 09:39:20 GMT 2025","22","LMS service","Exercises","Get entity","","","Get exercises",""
"passed","Fri Aug 29 09:39:22 GMT 2025","Fri Aug 29 09:39:22 GMT 2025","259","LMS service","Files","Validate entity","","","Create file with empty directory",""
"passed","Fri Aug 29 09:39:16 GMT 2025","Fri Aug 29 09:39:16 GMT 2025","34","LMS service","Courses","Update entity","","","Update course",""
"passed","Fri Aug 29 09:39:16 GMT 2025","Fri Aug 29 09:39:16 GMT 2025","28","LMS service","Courses","Create entity","","","Create course",""
"passed","Fri Aug 29 09:39:17 GMT 2025","Fri Aug 29 09:39:17 GMT 2025","31","LMS service","Exercises","Create entity","","","Create exercise",""
"passed","Fri Aug 29 09:39:23 GMT 2025","Fri Aug 29 09:39:23 GMT 2025","293","LMS service","Users","Create entity","","","Create user",""
"passed","Fri Aug 29 09:39:19 GMT 2025","Fri Aug 29 09:39:19 GMT 2025","22","LMS service","Exercises","Delete entity","","","Delete exercise",""
"passed","Fri Aug 29 09:39:14 GMT 2025","Fri Aug 29 09:39:15 GMT 2025","552","LMS service","Authentication","Login","","","Login with correct email and password",""
"passed","Fri Aug 29 09:39:15 GMT 2025","Fri Aug 29 09:39:15 GMT 2025","31","LMS service","Courses","Get entity","","","Get courses",""
"passed","Fri Aug 29 09:39:20 GMT 2025","Fri Aug 29 09:39:20 GMT 2025","23","LMS service","Files","Create entity","","","Create file",""
"passed","Fri Aug 29 09:39:21 GMT 2025","Fri Aug 29 09:39:21 GMT 2025","18","LMS service","Files","Get entity","","","Get file",""
"passed","Fri Aug 29 09:39:18 GMT 2025","Fri Aug 29 09:39:19 GMT 2025","48","LMS service","Exercises","Get entity","","","Get exercise",""
"passed","Fri Aug 29 09:39:23 GMT 2025","Fri Aug 29 09:39:23 GMT 2025","265","LMS service","Files","Validate entity","","","Get file with incorrect file id",""
"passed","Fri Aug 29 09:39:24 GMT 2025","Fri Aug 29 09:39:24 GMT 2025","14","LMS service","Users","Get entity","","","Get user me",""
"passed","Fri Aug 29 09:39:22 GMT 2025","Fri Aug 29 09:39:22 GMT 2025","296","LMS service","Files","Delete entity","","","Delete file",""
"passed","Fri Aug 29 09:39:17 GMT 2025","Fri Aug 29 09:39:17 GMT 2025","21","LMS service","Exercises","Update entity","","","Update exercise",""
"passed","Fri Aug 29 09:39:21 GMT 2025","Fri Aug 29 09:39:21 GMT 2025","259","LMS service","Files","Validate entity","","","Create file with empty filename",""
"passed","Fri Aug 29 09:39:22 GMT 2025","Fri Aug 29 09:39:23 GMT 2025","547","LMS service","Users","Create entity","","","Create user",""
"passed","Fri Aug 29 09:39:23 GMT 2025","Fri Aug 29 09:39:24 GMT 2025","566","LMS service","Users","Create entity","","","Create user",""
