"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 29 09:43:59 GMT 2025","Fri Aug 29 09:43:59 GMT 2025","263","LMS service","Files","Validate entity","","","Get file with incorrect file id",""
"passed","Fri Aug 29 09:43:51 GMT 2025","Fri Aug 29 09:43:51 GMT 2025","285","LMS service","Authentication","Login","","","Login with correct email and password",""
"passed","Fri Aug 29 09:44:00 GMT 2025","Fri Aug 29 09:44:00 GMT 2025","13","LMS service","Users","Get entity","","","Get user me",""
"passed","Fri Aug 29 09:43:59 GMT 2025","Fri Aug 29 09:44:00 GMT 2025","559","LMS service","Users","Create entity","","","Create user",""
"passed","Fri Aug 29 09:43:59 GMT 2025","Fri Aug 29 09:43:59 GMT 2025","523","LMS service","Users","Create entity","","","Create user",""
"passed","Fri Aug 29 09:43:56 GMT 2025","Fri Aug 29 09:43:56 GMT 2025","21","LMS service","Files","Create entity","","","Create file",""
"passed","Fri Aug 29 09:43:54 GMT 2025","Fri Aug 29 09:43:54 GMT 2025","27","LMS service","Exercises","Create entity","","","Create exercise",""
"passed","Fri Aug 29 09:43:55 GMT 2025","Fri Aug 29 09:43:55 GMT 2025","49","LMS service","Exercises","Get entity","","","Get exercise",""
"passed","Fri Aug 29 09:43:52 GMT 2025","Fri Aug 29 09:43:52 GMT 2025","305","LMS service","Courses","Update entity","","","Update course",""
"passed","Fri Aug 29 09:43:57 GMT 2025","Fri Aug 29 09:43:57 GMT 2025","15","LMS service","Files","Get entity","","","Get file",""
"passed","Fri Aug 29 09:43:56 GMT 2025","Fri Aug 29 09:43:56 GMT 2025","21","LMS service","Exercises","Get entity","","","Get exercises",""
"passed","Fri Aug 29 09:43:57 GMT 2025","Fri Aug 29 09:43:57 GMT 2025","26","LMS service","Files","Validate entity","","","Create file with empty filename",""
"passed","Fri Aug 29 09:43:52 GMT 2025","Fri Aug 29 09:43:52 GMT 2025","28","LMS service","Courses","Create entity","","","Create course",""
"passed","Fri Aug 29 09:43:58 GMT 2025","Fri Aug 29 09:43:59 GMT 2025","521","LMS service","Users","Create entity","","","Create user",""
"passed","Fri Aug 29 09:43:51 GMT 2025","Fri Aug 29 09:43:51 GMT 2025","30","LMS service","Courses","Get entity","","","Get courses",""
"passed","Fri Aug 29 09:43:54 GMT 2025","Fri Aug 29 09:43:54 GMT 2025","22","LMS service","Exercises","Update entity","","","Update exercise",""
"passed","Fri Aug 29 09:43:58 GMT 2025","Fri Aug 29 09:43:58 GMT 2025","23","LMS service","Files","Delete entity","","","Delete file",""
"passed","Fri Aug 29 09:43:58 GMT 2025","Fri Aug 29 09:43:58 GMT 2025","264","LMS service","Files","Validate entity","","","Create file with empty directory",""
"passed","Fri Aug 29 09:43:55 GMT 2025","Fri Aug 29 09:43:55 GMT 2025","18","LMS service","Exercises","Delete entity","","","Delete exercise",""
