"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 29 09:47:33 GMT 2025","Fri Aug 29 09:47:33 GMT 2025","294","LMS service","Files","Delete entity","","","Delete file",""
"passed","Fri Aug 29 09:47:34 GMT 2025","Fri Aug 29 09:47:34 GMT 2025","291","LMS service","Users","Create entity","","","Create user",""
"passed","Fri Aug 29 09:47:30 GMT 2025","Fri Aug 29 09:47:31 GMT 2025","285","LMS service","Exercises","Get entity","","","Get exercises",""
"passed","Fri Aug 29 09:47:27 GMT 2025","Fri Aug 29 09:47:27 GMT 2025","29","LMS service","Courses","Create entity","","","Create course",""
"passed","Fri Aug 29 09:47:34 GMT 2025","Fri Aug 29 09:47:34 GMT 2025","268","LMS service","Files","Validate entity","","","Get file with incorrect file id",""
"passed","Fri Aug 29 09:47:34 GMT 2025","Fri Aug 29 09:47:35 GMT 2025","558","LMS service","Users","Create entity","","","Create user",""
"passed","Fri Aug 29 09:47:35 GMT 2025","Fri Aug 29 09:47:35 GMT 2025","12","LMS service","Users","Get entity","","","Get user me",""
"passed","Fri Aug 29 09:47:33 GMT 2025","Fri Aug 29 09:47:33 GMT 2025","261","LMS service","Files","Validate entity","","","Create file with empty directory",""
"passed","Fri Aug 29 09:47:27 GMT 2025","Fri Aug 29 09:47:27 GMT 2025","303","LMS service","Courses","Update entity","","","Update course",""
"passed","Fri Aug 29 09:47:32 GMT 2025","Fri Aug 29 09:47:32 GMT 2025","15","LMS service","Files","Get entity","","","Get file",""
"passed","Fri Aug 29 09:47:33 GMT 2025","Fri Aug 29 09:47:34 GMT 2025","547","LMS service","Users","Create entity","","","Create user",""
"passed","Fri Aug 29 09:47:31 GMT 2025","Fri Aug 29 09:47:31 GMT 2025","20","LMS service","Files","Create entity","","","Create file",""
"passed","Fri Aug 29 09:47:29 GMT 2025","Fri Aug 29 09:47:30 GMT 2025","287","LMS service","Exercises","Get entity","","","Get exercise",""
"passed","Fri Aug 29 09:47:30 GMT 2025","Fri Aug 29 09:47:30 GMT 2025","19","LMS service","Exercises","Delete entity","","","Delete exercise",""
"passed","Fri Aug 29 09:47:26 GMT 2025","Fri Aug 29 09:47:27 GMT 2025","300","LMS service","Courses","Get entity","","","Get courses",""
"passed","Fri Aug 29 09:47:25 GMT 2025","Fri Aug 29 09:47:26 GMT 2025","287","LMS service","Authentication","Login","","","Login with correct email and password",""
"passed","Fri Aug 29 09:47:28 GMT 2025","Fri Aug 29 09:47:28 GMT 2025","23","LMS service","Exercises","Create entity","","","Create exercise",""
"passed","Fri Aug 29 09:47:29 GMT 2025","Fri Aug 29 09:47:29 GMT 2025","292","LMS service","Exercises","Update entity","","","Update exercise",""
"passed","Fri Aug 29 09:47:32 GMT 2025","Fri Aug 29 09:47:32 GMT 2025","18","LMS service","Files","Validate entity","","","Create file with empty filename",""
